Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
229.0,Futurama,180,TV Series,7.7,1968.8,8.5,258935.0,22.0,"Animation ,Adventure ,Comedy",1999,2050.0,https://www.imdb.com/title/tt0149460
230.0,The Rehearsal,7,TV Series,8.8,1670.7,8.5,25366.0,30.0,"Documentary ,Comedy",2022,2050.0,https://www.imdb.com/title/tt10802170
231.0,From the Earth to the Moon,12,TV Mini Series,8.0,437.8,8.6,13104.0,60.0,"Action ,Drama ,History",1998,1998.0,https://www.imdb.com/title/tt0120570
232.0,Rurouni Kenshin: Trust and Betrayal,4,TV Mini Series,8.7,178.5,8.6,16051.0,118.0,"Animation ,Action ,Adventure",1999,1999.0,https://www.imdb.com/title/tt0203082
233.0,The Expanse,62,TV Series,8.4,3355.4,8.5,170063.0,60.0,"Drama ,Mystery ,Sci-Fi",2015,2022.0,https://www.imdb.com/title/tt3230854
234.0,Hannibal,39,TV Series,8.7,6605.5,8.5,273846.0,1680.0,"Crime ,Drama ,Horror",2013,2015.0,https://www.imdb.com/title/tt2243973
235.0,Derry Girls,19,TV Series,8.2,1183.8,8.5,56180.0,30.0,Comedy,2018,2022.0,https://www.imdb.com/title/tt7120662
236.0,Westworld,36,TV Series,8.3,12099.4,8.5,529228.0,62.0,"Drama ,Mystery ,Sci-Fi",2016,2022.0,https://www.imdb.com/title/tt0475784
237.0,Umbre,21,TV Series,8.7,186.7,8.7,11329.0,45.0,"Crime ,Drama ,Thriller",2014,2019.0,https://www.imdb.com/title/tt4269716
238.0,My Brilliant Friend,25,TV Series,8.4,414.8,8.6,17491.0,60.0,Drama,2018,2050.0,https://www.imdb.com/title/tt7278862
239.0,Wentworth,100,TV Series,8.7,382.3,8.6,24282.0,45.0,"Crime ,Drama ,Thriller",2013,2021.0,https://www.imdb.com/title/tt2433738
240.0,Community,110,TV Series,8.2,4534.7,8.5,290195.0,22.0,Comedy,2009,2015.0,https://www.imdb.com/title/tt1439629
241.0,Avrupa Yakasi,190,TV Series,7.7,37.0,8.6,20973.0,60.0,Comedy,2004,2009.0,https://www.imdb.com/title/tt0421291
242.0,Tear Along the Dotted Line,6,TV Mini Series,8.2,411.0,8.6,12120.0,20.0,"Animation ,Comedy ,Drama",2021,2021.0,https://www.imdb.com/title/tt15614372
243.0,Your Lie in April,25,TV Series,8.4,757.6,8.6,36820.0,23.0,"Animation ,Comedy ,Drama",2014,2018.0,https://www.imdb.com/title/tt3895150
244.0,Chef's Table,30,TV Series,8.1,382.3,8.5,16887.0,50.0,"Documentary ,Biography",2015,2019.0,https://www.imdb.com/title/tt4295140
245.0,Gintama,222,TV Series,8.3,517.4,8.7,14792.0,25.0,"Animation ,Action ,Comedy",2005,2021.0,https://www.imdb.com/title/tt0988818
246.0,Alchemy of Souls,30,TV Series,8.7,349.6,8.8,16240.0,80.0,"Action ,Drama ,Fantasy",2022,2050.0,https://www.imdb.com/title/tt20859920
247.0,Foyle's War,28,TV Series,8.3,653.2,8.6,17922.0,90.0,"Crime ,Drama ,Mystery",2002,2015.0,https://www.imdb.com/title/tt0310455
248.0,Alfred Hitchcock Presents,268,TV Series,7.1,605.7,8.5,19155.0,25.0,"Drama ,Mystery",1955,1962.0,https://www.imdb.com/title/tt0047708
249.0,Sapne Vs Everyone,5,TV Series,9.7,4998.0,9.5,57621.0,345.0,Drama,2023,2050.0,https://www.imdb.com/title/tt30263074
250.0,Generation Kill,7,TV Mini Series,8.3,976.9,8.5,58533.0,70.0,"Drama ,War",2008,2008.0,https://www.imdb.com/title/tt0995832
